"metacell","cell_type","age"
1,"Mesenchyme",5.47619047619048
2,"Mesenchyme",5.575
3,"Mesenchyme",5.55555555555556
4,"Mesenchyme",5.625
5,"Mesenchyme",5.54285714285714
6,"Mesenchyme",5.28846153846154
7,"Mesenchyme",5.17857142857143
8,"Mesenchyme",5.4
9,"Mesenchyme",5.4
10,"Pharyngeal mesoderm",5.6
11,"Pharyngeal mesoderm",5.28571428571429
12,"Mixed mesoderm",5.34782608695652
13,"Paraxial mesoderm",5.47692307692308
14,"Mixed mesoderm",5.40625
15,"Mixed mesoderm",5.28125
16,"Mixed mesoderm",5.28205128205128
17,"Mixed mesoderm",5.18604651162791
18,"Mixed mesoderm",5.15384615384615
19,"Intermediate mesoderm",5.38
20,"Mixed mesoderm",5.40909090909091
21,"Mixed mesoderm",5.24242424242424
22,"Paraxial mesoderm",5.54237288135593
23,"Paraxial mesoderm",5.29032258064516
24,"Paraxial mesoderm",5.6984126984127
25,"Pharyngeal mesoderm",5.84375
26,"Paraxial mesoderm",5.71428571428571
27,"Mesenchyme",5.13888888888889
28,"Mixed mesoderm",5.06060606060606
29,"Mixed mesoderm",5.37142857142857
30,"Mesenchyme",5.16
31,"Mixed mesoderm",5.02631578947368
32,"Pharyngeal mesoderm",5.06451612903226
33,"Mesenchyme",5.10714285714286
34,"Intermediate mesoderm",5.09183673469388
35,"Paraxial mesoderm",5.10526315789474
36,"Mixed mesoderm",5.36363636363636
37,"Pharyngeal mesoderm",5.23333333333333
38,"Pharyngeal mesoderm",5.07692307692308
39,"Pharyngeal mesoderm",5
40,"Pharyngeal mesoderm",5.54285714285714
41,"Pharyngeal mesoderm",5.53658536585366
42,"Pharyngeal mesoderm",5.04411764705882
43,"Pharyngeal mesoderm",5.44
44,"Pharyngeal mesoderm",5.22058823529412
45,"Pharyngeal mesoderm",5
46,"Pharyngeal mesoderm",5.46511627906977
47,"Pharyngeal mesoderm",5.05555555555556
48,"Pharyngeal mesoderm",5.13953488372093
49,"Mesenchyme",5.29166666666667
50,"ExE mesoderm",5.05882352941176
51,"Mesenchyme",5.075
52,"Mesenchyme",5.27272727272727
53,"Mesenchyme",5.25
54,"Mesenchyme",5.31034482758621
55,"Mesenchyme",5.14814814814815
56,"Mesenchyme",5.51724137931035
57,"Mesenchyme",5.36666666666667
58,"Mesenchyme",5.34615384615385
59,"Mesenchyme",5.23684210526316
60,"Mesenchyme",5.32258064516129
61,"Mesenchyme",5.1
62,"Mesenchyme",5.025
63,"Mesenchyme",5.11764705882353
64,"Pharyngeal mesoderm",6.05128205128205
65,"Pharyngeal mesoderm",6.14285714285714
66,"Pharyngeal mesoderm",5.5
67,"Pharyngeal mesoderm",5.85714285714286
68,"Pharyngeal mesoderm",6.21875
69,"Pharyngeal mesoderm",6.03333333333333
70,"Pharyngeal mesoderm",5.88888888888889
71,"Haematoendothelial progenitors",6.03846153846154
