"metacell","cell_type","age"
1,"Dppa3+",4.92941176470588
2,"Dppa3+",4.89915966386555
3,"Dppa3+",5.29545454545455
4,"Dppa3+",5.31372549019608
5,"Dppa3+",5.28985507246377
6,"Dppa3+",5
7,"Dppa3+",5.24242424242424
8,"Dppa3+",5.35294117647059
9,"Dppa3+",4.76666666666667
10,"Dppa3+",4.69230769230769
11,"Dppa3+",5.21621621621622
12,"Dppa3+",4.7
13,"Epiblast",5.76712328767123
14,"Dppa3+",5
15,"Dppa3+",5
16,"Dppa3+",4.68085106382979
17,"Dppa3+",6.20754716981132
18,"Dppa3+",6.02857142857143
19,"Dppa3+",5.69230769230769
20,"Dppa3+",5.25
21,"Dppa3+",5.35
22,"Dppa3+",5
23,"Dppa3+",5.5
24,"Dppa3+",5.61111111111111
25,"Dppa3+",5.75
26,"Dppa3+",5.46875
27,"Dppa3+",5.60714285714286
28,"Dppa3+",6.14634146341463
29,"Dppa3+",5.8
30,"Dppa3+",6.41176470588235
31,"Dppa3+",5.69444444444445
32,"Dppa3+",6.26666666666667
33,"Dppa3+",5.83333333333333
34,"Dppa3+",5.90322580645161
35,"Dppa3+",6.27272727272727
36,"Dppa3+",5.51515151515152
37,"Dppa3+",5.58064516129032
38,"Dppa3+",5.96153846153846
39,"Dppa3+",5.92857142857143
40,"Dppa3+",5.51428571428571
41,"Dppa3+",5.85714285714286
42,"Dppa3+",5.75862068965517
43,"Dppa3+",5.7
44,"Dppa3+",5.6875
45,"Dppa3+",5.90322580645161
46,"Dppa3+",5.625
47,"Dppa3+",5.88888888888889
48,"Dppa3+",5.78125
49,"Dppa3+",5.78125
50,"Dppa3+",5.875
51,"Dppa3+",5.92857142857143
52,"Dppa3+",5.86111111111111
53,"Dppa3+",5.67857142857143
54,"Dppa3+",5.82142857142857
55,"Dppa3+",5.075
56,"Dppa3+",5.19230769230769
57,"Dppa3+",5.68571428571429
58,"Dppa3+",5.35294117647059
59,"Dppa3+",5.27027027027027
60,"Dppa3+",5.46428571428571
61,"Dppa3+",5.82758620689655
62,"Dppa3+",6.41935483870968
63,"Dppa3+",6.3
64,"Dppa3+",6.15625
65,"Dppa3+",6.18018018018018
66,"Dppa3+",5.63333333333333
67,"Dppa3+",6.28125
68,"Dppa3+",5.82758620689655
69,"Dppa3+",6.22222222222222
70,"Dppa3+",5.8
71,"Dppa3+",5.54054054054054
72,"Dppa3+",5.8421052631579
73,"Dppa3+",5.63157894736842
74,"Dppa3+",5.46428571428571
75,"Dppa3+",5.29166666666667
76,"Dppa3+",5
77,"Dppa3+",5.57225433526012
78,"Dppa3+",5.61363636363636
79,"Dppa3+",5.03125
80,"Dppa3+",5.91666666666667
81,"Dppa3+",5.33333333333333
82,"Dppa3+",5.48275862068966
83,"Dppa3+",5.45945945945946
84,"Dppa3+",5.2
85,"Dppa3+",5.40740740740741
86,"Dppa3+",5.77777777777778
87,"Dppa3+",5.94285714285714
88,"Dppa3+",5.29411764705882
89,"Dppa3+",5.75
90,"Dppa3+",5.18518518518519
91,"Dppa3+",5.3448275862069
92,"Dppa3+",4.75862068965517
93,"Dppa3+",5.29032258064516
94,"Dppa3+",5.9
95,"Dppa3+",5.8
96,"Dppa3+",5.36111111111111
97,"Dppa3+",6.02941176470588
98,"Dppa3+",5.825
99,"Dppa3+",5.83870967741936
100,"Dppa3+",5.64516129032258
101,"Dppa3+",5.46428571428571
102,"Dppa3+",6.15151515151515
103,"Dppa3+",6.05263157894737
104,"Dppa3+",5.85714285714286
105,"Dppa3+",5.53333333333333
106,"Dppa3+",5.7
107,"Dppa3+",6
108,"Dppa3+",6.20588235294118
109,"Dppa3+",5.73333333333333
110,"Dppa3+",5.925
111,"Dppa3+",6.2
112,"Dppa3+",5.86206896551724
113,"Dppa3+",5.77142857142857
114,"Dppa3+",5.12903225806452
115,"Dppa3+",5.7741935483871
116,"Dppa3+",5.90909090909091
117,"Dppa3+",5.08
118,"Dppa3+",5.93548387096774
119,"Dppa3+",6.32258064516129
120,"Dppa3+",5.91428571428572
121,"Dppa3+",5.54838709677419
122,"Dppa3+",5.70588235294118
123,"Dppa3+",5.79411764705882
124,"Dppa3+",5.625
125,"Dppa3+",5.51612903225807
126,"Dppa3+",6
127,"Dppa3+",5.27586206896552
128,"Dppa3+",5.52941176470588
129,"Dppa3+",5.47368421052632
130,"Dppa3+",5.9
131,"Dppa3+",6.27906976744186
132,"Dppa3+",6
133,"Dppa3+",6.41891891891892
134,"Dppa3+",6
135,"Dppa3+",5.91176470588235
136,"Dppa3+",5.89285714285714
137,"Dppa3+",6
138,"Dppa3+",5.83333333333333
139,"Dppa3+",5.85714285714286
140,"Dppa3+",5.53571428571429
141,"Dppa3+",5.4375
142,"Dppa3+",5.87878787878788
143,"Dppa3+",6.17391304347826
144,"Epiblast",5.95652173913044
145,"Dppa3+",5.74193548387097
146,"Dppa3+",6.17241379310345
147,"Dppa3+",5.82352941176471
148,"Dppa3+",5.67647058823529
149,"Dppa3+",5.97674418604651
150,"Dppa3+",6
151,"Dppa3+",6
152,"Dppa3+",5.75862068965517
153,"Dppa3+",5.04347826086957
154,"Dppa3+",5.86486486486487
155,"Dppa3+",5.56756756756757
156,"Dppa3+",5.84375
157,"Dppa3+",5.53571428571429
158,"Dppa3+",6.02631578947368
159,"Dppa3+",5.83333333333333
160,"Dppa3+",5.875
161,"Dppa3+",5.84848484848485
162,"Dppa3+",5.67741935483871
163,"Dppa3+",5.73170731707317
164,"Dppa3+",6.32352941176471
165,"Dppa3+",6.15384615384615
166,"Dppa3+",5.66666666666667
167,"Dppa3+",5.6
168,"Dppa3+",5.38709677419355
169,"Dppa3+",5.62857142857143
170,"Dppa3+",5.38709677419355
171,"ESC",0.240740740740741
172,"ESC",0.0555555555555556
173,"ESC",0.0697674418604651
174,"ESC",0.163265306122449
175,"ESC",0
176,"ExE ectoderm",0.538461538461538
177,"ESC",0.193548387096774
178,"ESC",0
179,"ESC",0.0769230769230769
180,"ESC",0.0337078651685393
181,"Zscan4d+ESC",0.0930232558139535
182,"ESC",0.342857142857143
183,"ESC",0
184,"ESC",0.24
185,"Epiblast",0.869565217391304
186,"Epiblast",0.846153846153846
187,"ESC",0.259259259259259
188,"ESC",0
189,"ESC",0
190,"ESC",0
191,"ESC",0
192,"ESC",0
193,"ESC",0
194,"ESC",0
195,"ESC",0
196,"ESC",0
197,"ESC",0.113636363636364
198,"ESC",0
199,"ESC",0
200,"ESC",0
201,"ESC",0
202,"ESC",0.0760869565217391
203,"ESC",0.0612244897959184
204,"Dppa3+",6.42307692307692
205,"Dppa3+",5.20588235294118
206,"Epiblast",5.53333333333333
207,"Dppa3+",4.85714285714286
208,"Dppa3+",4.90909090909091
209,"Dppa3+",5.58620689655172
210,"Dppa3+",6
211,"Dppa3+",5.93939393939394
212,"Dppa3+",5.89285714285714
213,"Dppa3+",5.72727272727273
214,"Dppa3+",6.05714285714286
215,"Dppa3+",5.95121951219512
216,"Dppa3+",4.93939393939394
217,"Dppa3+",5.375
218,"Dppa3+",4.37931034482759
219,"Dppa3+",4.75
220,"Dppa3+",6.1219512195122
221,"Dppa3+",5.18181818181818
222,"Epiblast",4.55555555555556
223,"Dppa3+",6.33333333333333
224,"Dppa3+",6.5
225,"Dppa3+",5.17241379310345
226,"Dppa3+",5.43243243243243
227,"Dppa3+",5.48275862068966
228,"Dppa3+",5.60714285714286
229,"Dppa3+",3.42553191489362
230,"Epiblast",3.88888888888889
231,"Dppa3+",4.43478260869565
232,"Epiblast",3.28378378378378
233,"Epiblast",3.11538461538462
234,"Epiblast",3.30909090909091
235,"Epiblast",3.26923076923077
236,"Dppa3+",3.34782608695652
