"metacell","cell_type","age"
1,"Pharyngeal mesoderm",6.62962962962963
2,"Mesenchyme",6.73333333333333
3,"Pharyngeal mesoderm",6.95652173913044
4,"Pharyngeal mesoderm",6.75
5,"Pharyngeal mesoderm",6.37777777777778
6,"Pharyngeal mesoderm",6.52
7,"Pharyngeal mesoderm",6.72413793103448
8,"Pharyngeal mesoderm",6.83333333333333
9,"Pharyngeal mesoderm",6.93939393939394
10,"Pharyngeal mesoderm",6.89705882352941
11,"Pharyngeal mesoderm",6.93396226415094
12,"Pharyngeal mesoderm",6.94594594594595
13,"Pharyngeal mesoderm",6.97916666666667
14,"Cardiomyocytes",6.95384615384615
15,"Cardiomyocytes",6.65168539325843
16,"Cardiomyocytes",6.275
17,"Cardiomyocytes",6.74358974358974
18,"Paraxial mesoderm",6.01612903225807
19,"Pharyngeal mesoderm",6.375
20,"Pharyngeal mesoderm",6.13793103448276
21,"Pharyngeal mesoderm",6.21212121212121
22,"Pharyngeal mesoderm",6.21052631578947
23,"Pharyngeal mesoderm",6.41025641025641
24,"Pharyngeal mesoderm",6.2
25,"Pharyngeal mesoderm",6.24137931034483
26,"Pharyngeal mesoderm",6.8125
27,"Pharyngeal mesoderm",6.27586206896552
28,"Pharyngeal mesoderm",6.48
29,"Pharyngeal mesoderm",6.5
30,"Paraxial mesoderm",6.94117647058824
31,"Paraxial mesoderm",6.94949494949495
32,"Paraxial mesoderm",6.33333333333333
33,"Paraxial mesoderm",6.37931034482759
34,"Paraxial mesoderm",6.52941176470588
35,"Paraxial mesoderm",6.74358974358974
36,"Pharyngeal mesoderm",6.46268656716418
37,"Pharyngeal mesoderm",6.79381443298969
38,"Pharyngeal mesoderm",6.74285714285714
39,"Pharyngeal mesoderm",6.77142857142857
40,"Pharyngeal mesoderm",6.90384615384615
41,"Pharyngeal mesoderm",6.51851851851852
42,"Pharyngeal mesoderm",6.47222222222222
43,"Paraxial mesoderm",6.6875
44,"Paraxial mesoderm",5.625
45,"Pharyngeal mesoderm",6.6
46,"Pharyngeal mesoderm",6.54347826086957
47,"Ambiguous",6.83673469387755
48,"Pharyngeal mesoderm",6.65217391304348
49,"Gut",6.23728813559322
50,"Gut",6.1978021978022
51,"Gut",6.62162162162162
52,"Gut",6.74698795180723
53,"Blood progenitors 2",6.75
54,"Cardiomyocytes",6.91818181818182
55,"Intermediate mesoderm",1.09090909090909
56,"Ambiguous",4.33333333333333
57,"Endothelium",6.01063829787234
58,"Endothelium",6.475
59,"Blood progenitors 2",6.04411764705882
60,"Mesenchyme",6.94074074074074
61,"Mesenchyme",6.97826086956522
62,"Mesenchyme",7
63,"Cardiomyocytes",6.61320754716981
64,"Cardiomyocytes",6.8252427184466
65,"Cardiomyocytes",6.92307692307692
66,"Endothelium",6.88461538461539
67,"Endothelium",6.72727272727273
68,"Endothelium",6.48
69,"Pharyngeal mesoderm",5.36781609195402
70,"ExE mesoderm",5.41379310344828
71,"ExE mesoderm",5.76
72,"ExE mesoderm",5.5
73,"Mesenchyme",5.42307692307692
74,"Mesenchyme",5.21428571428571
75,"Mesenchyme",5.26470588235294
76,"Mesenchyme",5.16666666666667
77,"Mesenchyme",5.17142857142857
78,"Mesenchyme",5.26086956521739
79,"Mesenchyme",5.17857142857143
80,"Mesenchyme",5.61111111111111
81,"Mesenchyme",5.19512195121951
82,"Mesenchyme",5.31818181818182
83,"ExE mesoderm",5.46428571428571
84,"Mesenchyme",5.27027027027027
85,"Mesenchyme",5.46666666666667
86,"Mesenchyme",5.42857142857143
87,"Mesenchyme",5.38461538461539
88,"Mesenchyme",5.62068965517241
89,"Mesenchyme",5.7037037037037
90,"Mesenchyme",5.72727272727273
91,"Mesenchyme",5.52083333333333
92,"Mesenchyme",5.29166666666667
93,"Mesenchyme",5.18181818181818
94,"Mesenchyme",5.19230769230769
95,"Mesenchyme",5.56521739130435
96,"Mesenchyme",5.20588235294118
97,"Mesenchyme",5.36666666666667
98,"Mesenchyme",5.28571428571429
99,"Mesenchyme",5.18421052631579
100,"Mesenchyme",5.51724137931035
101,"Mesenchyme",5.6551724137931
102,"Mesenchyme",5.66666666666667
103,"Mesenchyme",5.76666666666667
104,"Mesenchyme",5.80769230769231
105,"Mesenchyme",5.75
106,"Mesenchyme",5.25
107,"Mesenchyme",5.46153846153846
108,"Mesenchyme",5.48780487804878
109,"Mesenchyme",5.93243243243243
110,"Mesenchyme",5.88721804511278
111,"Mesenchyme",5.875
112,"Mesenchyme",5.18181818181818
113,"Mesenchyme",5.53333333333333
114,"Mesenchyme",5.55102040816327
115,"Mesenchyme",5.46341463414634
116,"Mesenchyme",5.93103448275862
117,"Mesenchyme",5.86486486486487
118,"Mesenchyme",5.8
119,"Mesenchyme",5.32432432432433
120,"Mesenchyme",6.11428571428571
121,"Mesenchyme",6.07407407407407
122,"Mesenchyme",5.95744680851064
123,"Mesenchyme",5.73076923076923
124,"Mesenchyme",6.02857142857143
125,"Mesenchyme",5.81818181818182
126,"Mesenchyme",5.54545454545455
127,"Mesenchyme",5.63888888888889
128,"Pharyngeal mesoderm",6.02564102564103
129,"Mesenchyme",6.17857142857143
130,"Mesenchyme",5.82758620689655
131,"Mesenchyme",5.74074074074074
132,"Mesenchyme",5.82857142857143
133,"Mesenchyme",6.05555555555556
134,"Mesenchyme",6
135,"Mesenchyme",6
136,"Mesenchyme",5.55555555555556
137,"Haematoendothelial progenitors",6.00952380952381
138,"Mesenchyme",5.97727272727273
139,"ExE mesoderm",6.06896551724138
140,"Mesenchyme",5.93548387096774
141,"Mesenchyme",6.16129032258065
142,"Mesenchyme",6.02272727272727
143,"Mesenchyme",5.80769230769231
144,"Mesenchyme",5.92592592592593
145,"Mesenchyme",6.14285714285714
146,"Mesenchyme",5.97142857142857
147,"Pharyngeal mesoderm",6.39130434782609
148,"Pharyngeal mesoderm",6.6
149,"Mesenchyme",6.84
150,"Mesenchyme",6.89090909090909
151,"Allantois",6.625
152,"Mesenchyme",6.66666666666667
153,"Mesenchyme",6.7
154,"Pharyngeal mesoderm",6.32
155,"Mesenchyme",6.14814814814815
156,"Pharyngeal mesoderm",6.26086956521739
157,"Pharyngeal mesoderm",6.2962962962963
158,"Mesenchyme",6
159,"Mesenchyme",6.39285714285714
160,"Mesenchyme",6.39130434782609
161,"Mesenchyme",6.6
162,"Mesenchyme",6.32142857142857
163,"Mesenchyme",6.42307692307692
164,"Mesenchyme",6.17857142857143
165,"Mesenchyme",5.92307692307692
166,"Mesenchyme",6.54545454545455
167,"Mesenchyme",6.92708333333333
168,"Mesenchyme",6.96491228070175
169,"Mesenchyme",6.94736842105263
170,"Mesenchyme",6.92592592592593
171,"Mesenchyme",6.51666666666667
172,"Mesenchyme",6.91549295774648
173,"Mesenchyme",6.90909090909091
174,"Mesenchyme",6.75862068965517
175,"Mesenchyme",6.92307692307692
176,"Mesenchyme",6.92857142857143
177,"Mesenchyme",5.93181818181818
178,"Mesenchyme",6.01515151515152
179,"Mesenchyme",6.44117647058824
180,"Mesenchyme",6.11764705882353
181,"Mesenchyme",6.17105263157895
182,"Mesenchyme",6.46666666666667
183,"Mesenchyme",6.9
184,"Mesenchyme",6.92105263157895
185,"Mesenchyme",6.5
186,"Mesenchyme",6.41379310344828
187,"Mesenchyme",6.15
188,"Mesenchyme",6.3125
189,"Mesenchyme",6.65625
190,"Mesenchyme",6.15384615384615
191,"Mesenchyme",5.70833333333333
192,"Mesenchyme",6.19444444444445
193,"Mesenchyme",5.64285714285714
194,"Mesenchyme",6.10714285714286
