"metacell","cell_type","age"
1,"Mesenchyme",5.33333333333333
2,"Mixed mesoderm",5.53333333333333
3,"Mixed mesoderm",5.58620689655172
4,"Mixed mesoderm",5.13157894736842
5,"Mixed mesoderm",5
6,"Mesenchyme",5.26086956521739
7,"Mesenchyme",5.19230769230769
8,"Pharyngeal mesoderm",5.15833333333333
9,"Mixed mesoderm",5.70588235294118
10,"Pharyngeal mesoderm",5.27272727272727
11,"Pharyngeal mesoderm",5.11627906976744
12,"Ambiguous",5.35294117647059
13,"Pharyngeal mesoderm",5.34615384615385
14,"Intermediate mesoderm",5.64444444444445
15,"Ambiguous",5.14705882352941
16,"Mesenchyme",5.43243243243243
17,"Mesenchyme",5.47222222222222
18,"Mesenchyme",5.28
19,"Mesenchyme",5.37931034482759
20,"Mesenchyme",5.28260869565217
21,"Mesenchyme",5.22448979591837
22,"Mesenchyme",5.4
23,"Mesenchyme",5.5
24,"Mesenchyme",5.42105263157895
25,"Mesenchyme",5.52083333333333
26,"Mesenchyme",5.56
27,"Mesenchyme",5.45945945945946
28,"Mesenchyme",5.20588235294118
29,"Mesenchyme",6.08196721311475
30,"Mixed mesoderm",6.06666666666667
31,"Mixed mesoderm",6.03571428571429
32,"Mixed mesoderm",5.82352941176471
33,"Mixed mesoderm",5.46153846153846
34,"Mixed mesoderm",5.725
35,"Mesenchyme",5.73913043478261
36,"Mixed mesoderm",5.72727272727273
37,"Mixed mesoderm",5.51515151515152
38,"Nascent mesoderm",5.66666666666667
39,"Nascent mesoderm",5.81481481481482
40,"Mixed mesoderm",5.69230769230769
41,"Mixed mesoderm",5.61290322580645
42,"Nascent mesoderm",5.83333333333333
43,"Intermediate mesoderm",5.81944444444445
44,"Mixed mesoderm",6.04347826086957
45,"Mixed mesoderm",6.13725490196079
46,"Mixed mesoderm",5.98989898989899
47,"Nascent mesoderm",5.68181818181818
48,"Mixed mesoderm",5.72
49,"Mixed mesoderm",5.75
50,"Nascent mesoderm",5.63888888888889
51,"Nascent mesoderm",5.46666666666667
52,"Nascent mesoderm",5.28571428571429
53,"Nascent mesoderm",5.23684210526316
54,"Nascent mesoderm",5.390625
55,"Nascent mesoderm",5.21212121212121
56,"Nascent mesoderm",4.73333333333333
57,"Mixed mesoderm",5.58620689655172
58,"Nascent mesoderm",5.08695652173913
59,"Mixed mesoderm",5.11111111111111
60,"Mixed mesoderm",5.54054054054054
61,"Mixed mesoderm",5.17142857142857
62,"Mixed mesoderm",4.91780821917808
63,"Mesenchyme",5.33333333333333
64,"Mixed mesoderm",5.24
65,"Mixed mesoderm",5.13559322033898
66,"Mixed mesoderm",5.05405405405405
67,"Pharyngeal mesoderm",5.85294117647059
68,"Pharyngeal mesoderm",6
69,"Pharyngeal mesoderm",6.24324324324324
70,"Pharyngeal mesoderm",6.32142857142857
71,"Pharyngeal mesoderm",6.42857142857143
72,"Pharyngeal mesoderm",6.54838709677419
73,"Pharyngeal mesoderm",6.3125
74,"Pharyngeal mesoderm",6.20833333333333
75,"Pharyngeal mesoderm",6.52631578947368
76,"Pharyngeal mesoderm",6.38888888888889
77,"Pharyngeal mesoderm",6.47619047619048
78,"Pharyngeal mesoderm",6.12
79,"Pharyngeal mesoderm",6.60869565217391
80,"Pharyngeal mesoderm",6.6
81,"Pharyngeal mesoderm",6.65714285714286
82,"Pharyngeal mesoderm",6.19354838709677
83,"Pharyngeal mesoderm",6.51428571428571
84,"Pharyngeal mesoderm",6.72222222222222
85,"Pharyngeal mesoderm",6.44186046511628
86,"Pharyngeal mesoderm",6.68292682926829
87,"Pharyngeal mesoderm",6.5
88,"Pharyngeal mesoderm",6.75862068965517
89,"Pharyngeal mesoderm",6.74193548387097
90,"Pharyngeal mesoderm",6.96363636363636
91,"Mesenchyme",6.92592592592593
92,"Pharyngeal mesoderm",6.96969696969697
93,"Pharyngeal mesoderm",6.9375
94,"Pharyngeal mesoderm",6.64102564102564
95,"Pharyngeal mesoderm",6.7037037037037
96,"Pharyngeal mesoderm",6.91666666666667
97,"Pharyngeal mesoderm",6.72340425531915
98,"Pharyngeal mesoderm",6.75
99,"Pharyngeal mesoderm",6.76666666666667
100,"Pharyngeal mesoderm",6.71111111111111
101,"Cardiomyocytes",6.86956521739131
102,"Cardiomyocytes",6.71544715447155
103,"Cardiomyocytes",6.71264367816092
104,"Pharyngeal mesoderm",6.87878787878788
105,"Endothelium",6.54
106,"Haematoendothelial progenitors",6.69491525423729
107,"Pharyngeal mesoderm",6.89655172413793
108,"Pharyngeal mesoderm",6.86538461538462
109,"Pharyngeal mesoderm",6.87951807228916
110,"Cardiomyocytes",6.91803278688525
111,"Mesenchyme",6.93333333333333
112,"Endothelium",6.61224489795918
113,"Endothelium",6.73134328358209
114,"Paraxial mesoderm",6.56716417910448
115,"Pharyngeal mesoderm",6.65714285714286
116,"Paraxial mesoderm",6.86813186813187
117,"Pharyngeal mesoderm",6.66
118,"Paraxial mesoderm",6.56603773584906
119,"Pharyngeal mesoderm",6.95061728395062
120,"Pharyngeal mesoderm",6.87323943661972
121,"Pharyngeal mesoderm",6.5609756097561
122,"Paraxial mesoderm",6.02564102564103
123,"Paraxial mesoderm",6.21538461538462
124,"Pharyngeal mesoderm",5.22448979591837
125,"Pharyngeal mesoderm",5.90666666666667
126,"Pharyngeal mesoderm",5.64444444444445
127,"Haematoendothelial progenitors",6.15189873417722
128,"Endothelium",6.47916666666667
129,"Cardiomyocytes",6.23188405797102
130,"Pharyngeal mesoderm",6.27551020408163
131,"Pharyngeal mesoderm",6.0327868852459
132,"Pharyngeal mesoderm",5.99259259259259
133,"Pharyngeal mesoderm",5.95
134,"Pharyngeal mesoderm",6.01973684210526
135,"Pharyngeal mesoderm",6.13157894736842
136,"Mesenchyme",6.67647058823529
137,"Mesenchyme",6.33333333333333
138,"Mesenchyme",6.84848484848485
139,"Mesenchyme",6.88636363636364
140,"Mesenchyme",6.25
141,"Mesenchyme",6.46875
142,"Mesenchyme",6.625
143,"Mesenchyme",6.72093023255814
144,"Mesenchyme",6.828125
145,"Mesenchyme",6.6046511627907
146,"Mesenchyme",6.10714285714286
147,"Mesenchyme",6.24561403508772
148,"Mesenchyme",6.27777777777778
149,"Mesenchyme",6.10344827586207
150,"Mesenchyme",6.7906976744186
151,"Mesenchyme",6.52777777777778
152,"Mesenchyme",6.38461538461539
153,"Mesenchyme",6.37837837837838
154,"Mesenchyme",6.36842105263158
155,"Mesenchyme",6.36363636363636
156,"Mesenchyme",6.39285714285714
